Epoch:   1|train loss: 0.6023|train accuracy: 82.49|test accuracy: 85.62
Epoch:   2|train loss: 0.4404|train accuracy: 87.05|test accuracy: 87.07
Epoch:   3|train loss: 0.3701|train accuracy: 88.65|test accuracy: 87.73
Epoch:   4|train loss: 0.3446|train accuracy: 89.52|test accuracy: 88.51
Epoch:   5|train loss: 0.3388|train accuracy: 90.05|test accuracy: 88.76
Epoch:   6|train loss: 0.3248|train accuracy: 90.60|test accuracy: 88.22
Epoch:   7|train loss: 0.3101|train accuracy: 90.81|test accuracy: 89.04
Epoch:   8|train loss: 0.2872|train accuracy: 91.09|test accuracy: 89.08
Epoch:   9|train loss: 0.3426|train accuracy: 91.41|test accuracy: 89.55
Epoch:  10|train loss: 0.2749|train accuracy: 91.40|test accuracy: 89.76
Epoch:  11|train loss: 0.2676|train accuracy: 91.78|test accuracy: 89.31
Epoch:  12|train loss: 0.2987|train accuracy: 91.80|test accuracy: 89.74
Epoch:  13|train loss: 0.3019|train accuracy: 91.88|test accuracy: 90.24
Epoch:  14|train loss: 0.2999|train accuracy: 92.09|test accuracy: 89.90
Epoch:  15|train loss: 0.2645|train accuracy: 92.26|test accuracy: 89.63
Epoch:  16|train loss: 0.3286|train accuracy: 92.09|test accuracy: 89.76
Epoch:  17|train loss: 0.2731|train accuracy: 92.16|test accuracy: 89.65
Epoch:  18|train loss: 0.2954|train accuracy: 92.28|test accuracy: 90.18
Epoch:  19|train loss: 0.2873|train accuracy: 92.42|test accuracy: 89.38
Epoch:  20|train loss: 0.2646|train accuracy: 92.56|test accuracy: 90.29
Epoch:  21|train loss: 0.2621|train accuracy: 92.55|test accuracy: 89.40
Epoch:  22|train loss: 0.2544|train accuracy: 92.33|test accuracy: 90.18
Epoch:  23|train loss: 0.2659|train accuracy: 92.72|test accuracy: 89.97
Epoch:  24|train loss: 0.2590|train accuracy: 92.55|test accuracy: 90.12
Epoch:  25|train loss: 0.2501|train accuracy: 92.73|test accuracy: 89.82
Epoch:  26|train loss: 0.2438|train accuracy: 92.88|test accuracy: 90.54
Epoch:  27|train loss: 0.2491|train accuracy: 92.96|test accuracy: 90.24
Epoch:  28|train loss: 0.2381|train accuracy: 93.01|test accuracy: 90.16
Epoch:  29|train loss: 0.2403|train accuracy: 92.98|test accuracy: 90.43
Epoch:  30|train loss: 0.2385|train accuracy: 93.03|test accuracy: 89.95
Epoch:  31|train loss: 0.2337|train accuracy: 93.00|test accuracy: 90.58
Epoch:  32|train loss: 0.2346|train accuracy: 93.26|test accuracy: 90.33
Epoch:  33|train loss: 0.2539|train accuracy: 93.17|test accuracy: 90.75
Epoch:  34|train loss: 0.2724|train accuracy: 93.08|test accuracy: 90.33
Epoch:  35|train loss: 0.2387|train accuracy: 93.13|test accuracy: 89.71
Epoch:  36|train loss: 0.2234|train accuracy: 93.25|test accuracy: 90.88
Epoch:  37|train loss: 0.2391|train accuracy: 93.27|test accuracy: 90.86
Epoch:  38|train loss: 0.2303|train accuracy: 93.31|test accuracy: 90.45
Epoch:  39|train loss: 0.2255|train accuracy: 93.26|test accuracy: 90.67
Epoch:  40|train loss: 0.2258|train accuracy: 93.25|test accuracy: 91.11
Epoch:  41|train loss: 0.2420|train accuracy: 93.30|test accuracy: 90.60
Epoch:  42|train loss: 0.2314|train accuracy: 93.34|test accuracy: 91.13
Epoch:  43|train loss: 0.2439|train accuracy: 93.25|test accuracy: 90.62
Epoch:  44|train loss: 0.2359|train accuracy: 93.24|test accuracy: 90.75
Epoch:  45|train loss: 0.2425|train accuracy: 93.51|test accuracy: 90.83
Epoch:  46|train loss: 0.2269|train accuracy: 93.47|test accuracy: 90.92
Epoch:  47|train loss: 0.2163|train accuracy: 93.51|test accuracy: 91.11
Epoch:  48|train loss: 0.2149|train accuracy: 93.77|test accuracy: 90.98
Epoch:  49|train loss: 0.2660|train accuracy: 93.48|test accuracy: 91.13
Epoch:  50|train loss: 0.2364|train accuracy: 93.70|test accuracy: 91.32
Epoch:  51|train loss: 0.2428|train accuracy: 93.50|test accuracy: 91.00
Epoch:  52|train loss: 0.2472|train accuracy: 93.61|test accuracy: 90.37
Epoch:  53|train loss: 0.2426|train accuracy: 93.72|test accuracy: 90.94
Epoch:  54|train loss: 0.2108|train accuracy: 93.56|test accuracy: 91.11
Epoch:  55|train loss: 0.2269|train accuracy: 93.53|test accuracy: 90.79
Epoch:  56|train loss: 0.2174|train accuracy: 93.75|test accuracy: 90.98
Epoch:  57|train loss: 0.2301|train accuracy: 93.76|test accuracy: 91.00
Epoch:  58|train loss: 0.2425|train accuracy: 93.71|test accuracy: 90.71
Epoch:  59|train loss: 0.2105|train accuracy: 93.68|test accuracy: 91.43
Epoch:  60|train loss: 0.2285|train accuracy: 93.74|test accuracy: 90.45
Epoch:  61|train loss: 0.2215|train accuracy: 93.67|test accuracy: 91.13
Epoch:  62|train loss: 0.2408|train accuracy: 93.73|test accuracy: 91.07
Epoch:  63|train loss: 0.2438|train accuracy: 93.50|test accuracy: 88.91
Epoch:  64|train loss: 0.2446|train accuracy: 93.76|test accuracy: 90.35
Epoch:  65|train loss: 0.2190|train accuracy: 93.98|test accuracy: 91.32
Epoch:  66|train loss: 0.2195|train accuracy: 93.85|test accuracy: 90.12
Epoch:  67|train loss: 0.2052|train accuracy: 93.80|test accuracy: 90.83
Epoch:  68|train loss: 0.2057|train accuracy: 93.92|test accuracy: 91.45
Epoch:  69|train loss: 0.2212|train accuracy: 93.91|test accuracy: 90.60
Epoch:  70|train loss: 0.2273|train accuracy: 93.94|test accuracy: 90.92
Epoch:  71|train loss: 0.2139|train accuracy: 93.81|test accuracy: 91.11
Epoch:  72|train loss: 0.2163|train accuracy: 93.88|test accuracy: 91.09
Epoch:  73|train loss: 0.2109|train accuracy: 93.81|test accuracy: 90.94
Epoch:  74|train loss: 0.2201|train accuracy: 93.85|test accuracy: 91.11
Epoch:  75|train loss: 0.2212|train accuracy: 93.76|test accuracy: 91.64
Epoch:  76|train loss: 0.2020|train accuracy: 93.85|test accuracy: 91.45
Epoch:  77|train loss: 0.2113|train accuracy: 93.86|test accuracy: 91.38
Epoch:  78|train loss: 0.2051|train accuracy: 94.05|test accuracy: 91.53
Epoch:  79|train loss: 0.2424|train accuracy: 93.89|test accuracy: 90.90
Epoch:  80|train loss: 0.2317|train accuracy: 93.89|test accuracy: 91.11
Epoch:  81|train loss: 0.2171|train accuracy: 94.00|test accuracy: 91.21
Epoch:  82|train loss: 0.2118|train accuracy: 93.77|test accuracy: 91.57
Epoch:  83|train loss: 0.2084|train accuracy: 93.89|test accuracy: 91.26
Epoch:  84|train loss: 0.2156|train accuracy: 94.09|test accuracy: 91.26
Epoch:  85|train loss: 0.2159|train accuracy: 93.98|test accuracy: 90.98
Epoch:  86|train loss: 0.2145|train accuracy: 94.01|test accuracy: 90.90
Epoch:  87|train loss: 0.2072|train accuracy: 94.08|test accuracy: 91.28
Epoch:  88|train loss: 0.2123|train accuracy: 94.07|test accuracy: 91.45
Epoch:  89|train loss: 0.2268|train accuracy: 93.94|test accuracy: 90.22
Epoch:  90|train loss: 0.2344|train accuracy: 94.00|test accuracy: 91.15
Epoch:  91|train loss: 0.2054|train accuracy: 94.01|test accuracy: 91.11
Epoch:  92|train loss: 0.2203|train accuracy: 94.19|test accuracy: 91.24
Epoch:  93|train loss: 0.2055|train accuracy: 93.91|test accuracy: 91.24
Epoch:  94|train loss: 0.2049|train accuracy: 94.20|test accuracy: 91.28
Epoch:  95|train loss: 0.2026|train accuracy: 94.22|test accuracy: 91.02
Epoch:  96|train loss: 0.2205|train accuracy: 94.14|test accuracy: 91.05
Epoch:  97|train loss: 0.2040|train accuracy: 94.22|test accuracy: 91.36
Epoch:  98|train loss: 0.2136|train accuracy: 94.06|test accuracy: 91.47
Epoch:  99|train loss: 0.2139|train accuracy: 94.02|test accuracy: 90.90
Epoch: 100|train loss: 0.1997|train accuracy: 94.10|test accuracy: 91.70
