Epoch:   1|train loss: 1.6233|train accuracy: 62.37|test accuracy: 70.48
Epoch:   2|train loss: 0.9530|train accuracy: 72.93|test accuracy: 75.02
Epoch:   3|train loss: 0.7554|train accuracy: 78.39|test accuracy: 80.61
Epoch:   4|train loss: 0.6362|train accuracy: 81.06|test accuracy: 82.41
Epoch:   5|train loss: 0.5789|train accuracy: 82.79|test accuracy: 83.95
Epoch:   6|train loss: 0.5858|train accuracy: 84.35|test accuracy: 82.91
Epoch:   7|train loss: 0.5158|train accuracy: 84.94|test accuracy: 85.09
Epoch:   8|train loss: 0.5107|train accuracy: 85.64|test accuracy: 85.74
Epoch:   9|train loss: 0.4694|train accuracy: 86.17|test accuracy: 85.70
Epoch:  10|train loss: 0.5033|train accuracy: 86.48|test accuracy: 85.98
Epoch:  11|train loss: 0.4617|train accuracy: 87.09|test accuracy: 86.06
Epoch:  12|train loss: 0.4718|train accuracy: 87.52|test accuracy: 86.57
Epoch:  13|train loss: 0.4589|train accuracy: 87.49|test accuracy: 86.53
Epoch:  14|train loss: 0.4444|train accuracy: 87.88|test accuracy: 87.05
Epoch:  15|train loss: 0.4091|train accuracy: 88.27|test accuracy: 87.27
Epoch:  16|train loss: 0.3810|train accuracy: 88.35|test accuracy: 87.33
Epoch:  17|train loss: 0.4430|train accuracy: 88.48|test accuracy: 87.69
Epoch:  18|train loss: 0.3772|train accuracy: 89.05|test accuracy: 87.71
Epoch:  19|train loss: 0.3817|train accuracy: 88.99|test accuracy: 87.73
Epoch:  20|train loss: 0.4242|train accuracy: 89.18|test accuracy: 88.00
Epoch:  21|train loss: 0.3704|train accuracy: 89.12|test accuracy: 87.96
Epoch:  22|train loss: 0.4212|train accuracy: 89.17|test accuracy: 87.92
Epoch:  23|train loss: 0.3582|train accuracy: 89.55|test accuracy: 88.13
Epoch:  24|train loss: 0.3533|train accuracy: 89.62|test accuracy: 87.98
Epoch:  25|train loss: 0.3687|train accuracy: 89.82|test accuracy: 87.88
Epoch:  26|train loss: 0.3452|train accuracy: 89.91|test accuracy: 88.03
Epoch:  27|train loss: 0.3149|train accuracy: 90.05|test accuracy: 88.30
Epoch:  28|train loss: 0.4061|train accuracy: 90.19|test accuracy: 88.53
Epoch:  29|train loss: 0.3481|train accuracy: 90.07|test accuracy: 87.96
Epoch:  30|train loss: 0.3369|train accuracy: 90.17|test accuracy: 87.03
Epoch:  31|train loss: 0.3207|train accuracy: 90.21|test accuracy: 88.60
Epoch:  32|train loss: 0.3475|train accuracy: 90.42|test accuracy: 88.79
Epoch:  33|train loss: 0.4004|train accuracy: 90.47|test accuracy: 88.43
Epoch:  34|train loss: 0.4606|train accuracy: 90.35|test accuracy: 88.74
Epoch:  35|train loss: 0.3535|train accuracy: 90.25|test accuracy: 88.70
Epoch:  36|train loss: 0.4193|train accuracy: 90.62|test accuracy: 88.41
Epoch:  37|train loss: 0.3270|train accuracy: 90.46|test accuracy: 88.95
Epoch:  38|train loss: 0.3181|train accuracy: 90.89|test accuracy: 88.95
Epoch:  39|train loss: 0.3414|train accuracy: 90.71|test accuracy: 88.41
Epoch:  40|train loss: 0.2974|train accuracy: 90.69|test accuracy: 89.12
Epoch:  41|train loss: 0.3449|train accuracy: 90.97|test accuracy: 88.98
Epoch:  42|train loss: 0.3681|train accuracy: 90.95|test accuracy: 88.76
Epoch:  43|train loss: 0.3220|train accuracy: 90.96|test accuracy: 89.21
Epoch:  44|train loss: 0.3427|train accuracy: 91.01|test accuracy: 89.06
Epoch:  45|train loss: 0.2950|train accuracy: 91.12|test accuracy: 88.98
Epoch:  46|train loss: 0.3493|train accuracy: 91.29|test accuracy: 88.41
Epoch:  47|train loss: 0.2919|train accuracy: 91.25|test accuracy: 89.12
Epoch:  48|train loss: 0.2853|train accuracy: 91.23|test accuracy: 89.25
Epoch:  49|train loss: 0.3887|train accuracy: 91.27|test accuracy: 88.89
Epoch:  50|train loss: 0.2998|train accuracy: 91.44|test accuracy: 89.17
Epoch:  51|train loss: 0.3684|train accuracy: 91.42|test accuracy: 89.57
Epoch:  52|train loss: 0.2882|train accuracy: 91.59|test accuracy: 89.36
Epoch:  53|train loss: 0.3095|train accuracy: 91.46|test accuracy: 89.40
Epoch:  54|train loss: 0.3557|train accuracy: 91.45|test accuracy: 89.44
Epoch:  55|train loss: 0.2897|train accuracy: 91.40|test accuracy: 89.59
Epoch:  56|train loss: 0.3089|train accuracy: 91.51|test accuracy: 89.10
Epoch:  57|train loss: 0.3479|train accuracy: 91.63|test accuracy: 89.25
Epoch:  58|train loss: 0.3030|train accuracy: 91.52|test accuracy: 89.42
Epoch:  59|train loss: 0.3078|train accuracy: 91.84|test accuracy: 89.21
Epoch:  60|train loss: 0.3111|train accuracy: 91.63|test accuracy: 89.31
Epoch:  61|train loss: 0.2958|train accuracy: 91.89|test accuracy: 89.50
Epoch:  62|train loss: 0.2960|train accuracy: 91.83|test accuracy: 89.33
Epoch:  63|train loss: 0.2857|train accuracy: 91.81|test accuracy: 89.71
Epoch:  64|train loss: 0.3130|train accuracy: 91.91|test accuracy: 89.40
Epoch:  65|train loss: 0.3293|train accuracy: 91.82|test accuracy: 89.57
Epoch:  66|train loss: 0.3258|train accuracy: 91.84|test accuracy: 89.10
Epoch:  67|train loss: 0.2935|train accuracy: 91.82|test accuracy: 89.50
Epoch:  68|train loss: 0.2719|train accuracy: 92.09|test accuracy: 89.55
Epoch:  69|train loss: 0.2947|train accuracy: 91.91|test accuracy: 89.00
Epoch:  70|train loss: 0.2900|train accuracy: 92.16|test accuracy: 89.69
Epoch:  71|train loss: 0.3085|train accuracy: 92.10|test accuracy: 89.61
Epoch:  72|train loss: 0.2681|train accuracy: 91.84|test accuracy: 89.33
Epoch:  73|train loss: 0.3095|train accuracy: 92.14|test accuracy: 89.44
Epoch:  74|train loss: 0.2950|train accuracy: 91.98|test accuracy: 89.19
Epoch:  75|train loss: 0.2668|train accuracy: 91.95|test accuracy: 89.74
Epoch:  76|train loss: 0.3797|train accuracy: 92.02|test accuracy: 89.57
Epoch:  77|train loss: 0.2921|train accuracy: 92.27|test accuracy: 89.71
Epoch:  78|train loss: 0.3032|train accuracy: 92.15|test accuracy: 89.55
Epoch:  79|train loss: 0.2531|train accuracy: 92.18|test accuracy: 89.78
Epoch:  80|train loss: 0.2977|train accuracy: 92.35|test accuracy: 89.76
Epoch:  81|train loss: 0.2764|train accuracy: 92.18|test accuracy: 89.80
Epoch:  82|train loss: 0.2787|train accuracy: 92.52|test accuracy: 89.52
Epoch:  83|train loss: 0.3174|train accuracy: 92.30|test accuracy: 89.57
Epoch:  84|train loss: 0.2854|train accuracy: 92.49|test accuracy: 89.80
Epoch:  85|train loss: 0.2573|train accuracy: 92.52|test accuracy: 89.82
Epoch:  86|train loss: 0.2608|train accuracy: 92.44|test accuracy: 90.03
Epoch:  87|train loss: 0.3348|train accuracy: 92.45|test accuracy: 90.16
Epoch:  88|train loss: 0.2706|train accuracy: 92.43|test accuracy: 89.78
Epoch:  89|train loss: 0.3226|train accuracy: 92.44|test accuracy: 89.78
Epoch:  90|train loss: 0.2808|train accuracy: 92.37|test accuracy: 89.23
Epoch:  91|train loss: 0.2875|train accuracy: 92.24|test accuracy: 89.78
Epoch:  92|train loss: 0.3127|train accuracy: 92.58|test accuracy: 90.14
Epoch:  93|train loss: 0.2701|train accuracy: 92.56|test accuracy: 90.05
Epoch:  94|train loss: 0.2453|train accuracy: 92.73|test accuracy: 90.12
Epoch:  95|train loss: 0.2901|train accuracy: 92.63|test accuracy: 90.35
Epoch:  96|train loss: 0.3083|train accuracy: 92.63|test accuracy: 88.79
Epoch:  97|train loss: 0.2856|train accuracy: 92.76|test accuracy: 90.03
Epoch:  98|train loss: 0.3018|train accuracy: 92.28|test accuracy: 89.59
Epoch:  99|train loss: 0.2724|train accuracy: 92.58|test accuracy: 89.61
Epoch: 100|train loss: 0.3190|train accuracy: 92.54|test accuracy: 90.22
Epoch: 101|train loss: 0.3134|train accuracy: 92.68|test accuracy: 89.63
Epoch: 102|train loss: 0.2722|train accuracy: 92.55|test accuracy: 89.90
Epoch: 103|train loss: 0.3060|train accuracy: 92.66|test accuracy: 90.14
Epoch: 104|train loss: 0.2660|train accuracy: 92.71|test accuracy: 90.33
Epoch: 105|train loss: 0.3206|train accuracy: 92.63|test accuracy: 89.61
Epoch: 106|train loss: 0.2751|train accuracy: 92.63|test accuracy: 89.65
Epoch: 107|train loss: 0.2542|train accuracy: 92.66|test accuracy: 89.82
Epoch: 108|train loss: 0.2556|train accuracy: 92.84|test accuracy: 90.31
Epoch: 109|train loss: 0.2495|train accuracy: 92.75|test accuracy: 89.80
Epoch: 110|train loss: 0.2822|train accuracy: 92.70|test accuracy: 90.20
Epoch: 111|train loss: 0.2728|train accuracy: 92.78|test accuracy: 90.20
Epoch: 112|train loss: 0.2593|train accuracy: 92.75|test accuracy: 90.20
Epoch: 113|train loss: 0.2697|train accuracy: 92.80|test accuracy: 89.90
Epoch: 114|train loss: 0.3106|train accuracy: 92.91|test accuracy: 89.99
Epoch: 115|train loss: 0.3026|train accuracy: 92.75|test accuracy: 90.54
Epoch: 116|train loss: 0.2612|train accuracy: 92.83|test accuracy: 90.22
Epoch: 117|train loss: 0.3221|train accuracy: 92.84|test accuracy: 89.95
Epoch: 118|train loss: 0.2431|train accuracy: 92.86|test accuracy: 89.99
Epoch: 119|train loss: 0.2805|train accuracy: 92.92|test accuracy: 90.10
Epoch: 120|train loss: 0.2422|train accuracy: 93.00|test accuracy: 89.90
Epoch: 121|train loss: 0.2353|train accuracy: 93.00|test accuracy: 89.82
Epoch: 122|train loss: 0.2443|train accuracy: 93.02|test accuracy: 90.03
Epoch: 123|train loss: 0.2533|train accuracy: 92.91|test accuracy: 90.56
Epoch: 124|train loss: 0.2532|train accuracy: 92.99|test accuracy: 90.05
Epoch: 125|train loss: 0.3068|train accuracy: 93.06|test accuracy: 89.78
Epoch: 126|train loss: 0.2663|train accuracy: 93.08|test accuracy: 89.93
Epoch: 127|train loss: 0.2819|train accuracy: 93.01|test accuracy: 89.50
Epoch: 128|train loss: 0.3346|train accuracy: 92.98|test accuracy: 90.39
Epoch: 129|train loss: 0.3165|train accuracy: 93.01|test accuracy: 90.18
Epoch: 130|train loss: 0.2362|train accuracy: 93.02|test accuracy: 90.39
Epoch: 131|train loss: 0.2560|train accuracy: 93.10|test accuracy: 89.95
Epoch: 132|train loss: 0.2861|train accuracy: 93.06|test accuracy: 90.29
Epoch: 133|train loss: 0.2673|train accuracy: 93.04|test accuracy: 90.45
Epoch: 134|train loss: 0.2555|train accuracy: 93.22|test accuracy: 88.09
Epoch: 135|train loss: 0.2733|train accuracy: 92.98|test accuracy: 90.14
Epoch: 136|train loss: 0.2857|train accuracy: 93.05|test accuracy: 89.90
Epoch: 137|train loss: 0.2366|train accuracy: 92.89|test accuracy: 90.05
Epoch: 138|train loss: 0.2552|train accuracy: 93.14|test accuracy: 90.18
Epoch: 139|train loss: 0.2937|train accuracy: 93.27|test accuracy: 90.10
Epoch: 140|train loss: 0.2336|train accuracy: 93.11|test accuracy: 90.18
Epoch: 141|train loss: 0.2583|train accuracy: 93.09|test accuracy: 90.29
Epoch: 142|train loss: 0.2894|train accuracy: 93.15|test accuracy: 87.50
Epoch: 143|train loss: 0.2551|train accuracy: 93.13|test accuracy: 90.18
Epoch: 144|train loss: 0.2588|train accuracy: 93.16|test accuracy: 90.37
Epoch: 145|train loss: 0.2447|train accuracy: 93.13|test accuracy: 90.20
Epoch: 146|train loss: 0.2448|train accuracy: 93.07|test accuracy: 90.01
Epoch: 147|train loss: 0.2438|train accuracy: 93.14|test accuracy: 90.37
Epoch: 148|train loss: 0.2822|train accuracy: 93.34|test accuracy: 90.24
Epoch: 149|train loss: 0.2474|train accuracy: 93.14|test accuracy: 90.12
Epoch: 150|train loss: 0.2627|train accuracy: 93.16|test accuracy: 90.26
Epoch: 151|train loss: 0.2308|train accuracy: 93.28|test accuracy: 90.07
Epoch: 152|train loss: 0.2560|train accuracy: 93.33|test accuracy: 90.33
