Epoch:   1|train loss: 0.2983|train accuracy: 90.62|test accuracy: 88.89
Epoch:   2|train loss: 0.2644|train accuracy: 92.84|test accuracy: 90.29
Epoch:   3|train loss: 0.2135|train accuracy: 93.53|test accuracy: 90.45
Epoch:   4|train loss: 0.2083|train accuracy: 93.66|test accuracy: 91.19
Epoch:   5|train loss: 0.2305|train accuracy: 93.46|test accuracy: 91.59
Epoch:   6|train loss: 0.2194|train accuracy: 93.76|test accuracy: 86.88
Epoch:   7|train loss: 0.2355|train accuracy: 93.28|test accuracy: 91.30
Epoch:   8|train loss: 0.1978|train accuracy: 93.95|test accuracy: 90.94
Epoch:   9|train loss: 0.2583|train accuracy: 93.70|test accuracy: 89.04
Epoch:  10|train loss: 0.2238|train accuracy: 93.20|test accuracy: 91.13
Epoch:  11|train loss: 0.1938|train accuracy: 94.10|test accuracy: 91.00
Epoch:  12|train loss: 0.2325|train accuracy: 94.05|test accuracy: 91.55
Epoch:  13|train loss: 0.2379|train accuracy: 93.58|test accuracy: 91.15
Epoch:  14|train loss: 0.2425|train accuracy: 93.67|test accuracy: 90.79
Epoch:  15|train loss: 0.2200|train accuracy: 93.45|test accuracy: 90.33
Epoch:  16|train loss: 0.2557|train accuracy: 93.96|test accuracy: 90.58
Epoch:  17|train loss: 0.2377|train accuracy: 93.49|test accuracy: 90.98
Epoch:  18|train loss: 0.2681|train accuracy: 93.38|test accuracy: 91.36
Epoch:  19|train loss: 0.2390|train accuracy: 93.92|test accuracy: 90.69
Epoch:  20|train loss: 0.2247|train accuracy: 93.83|test accuracy: 90.31
Epoch:  21|train loss: 0.2727|train accuracy: 93.11|test accuracy: 90.62
Epoch:  22|train loss: 0.2278|train accuracy: 93.34|test accuracy: 90.67
Epoch:  23|train loss: 0.2163|train accuracy: 94.24|test accuracy: 90.94
Epoch:  24|train loss: 0.2334|train accuracy: 93.45|test accuracy: 91.13
Epoch:  25|train loss: 0.2097|train accuracy: 94.01|test accuracy: 90.83
Epoch:  26|train loss: 0.2066|train accuracy: 94.06|test accuracy: 91.30
Epoch:  27|train loss: 0.1998|train accuracy: 94.34|test accuracy: 90.90
Epoch:  28|train loss: 0.2012|train accuracy: 94.15|test accuracy: 89.78
Epoch:  29|train loss: 0.1942|train accuracy: 94.27|test accuracy: 91.26
Epoch:  30|train loss: 0.2060|train accuracy: 94.08|test accuracy: 91.00
Epoch:  31|train loss: 0.1876|train accuracy: 94.36|test accuracy: 91.47
Epoch:  32|train loss: 0.1930|train accuracy: 94.46|test accuracy: 91.49
Epoch:  33|train loss: 0.2076|train accuracy: 94.12|test accuracy: 91.57
Epoch:  34|train loss: 0.2349|train accuracy: 93.74|test accuracy: 90.83
Epoch:  35|train loss: 0.2167|train accuracy: 93.76|test accuracy: 89.61
Epoch:  36|train loss: 0.1976|train accuracy: 93.96|test accuracy: 91.91
Epoch:  37|train loss: 0.2027|train accuracy: 94.33|test accuracy: 91.59
Epoch:  38|train loss: 0.1975|train accuracy: 94.14|test accuracy: 91.28
Epoch:  39|train loss: 0.1872|train accuracy: 94.31|test accuracy: 91.47
Epoch:  40|train loss: 0.1895|train accuracy: 94.45|test accuracy: 91.40
Epoch:  41|train loss: 0.2131|train accuracy: 93.94|test accuracy: 90.10
Epoch:  42|train loss: 0.2011|train accuracy: 93.96|test accuracy: 91.30
Epoch:  43|train loss: 0.1939|train accuracy: 94.40|test accuracy: 90.52
Epoch:  44|train loss: 0.2074|train accuracy: 93.96|test accuracy: 90.86
Epoch:  45|train loss: 0.2277|train accuracy: 93.57|test accuracy: 91.15
Epoch:  46|train loss: 0.2137|train accuracy: 93.82|test accuracy: 91.07
Epoch:  47|train loss: 0.1873|train accuracy: 94.34|test accuracy: 91.15
Epoch:  48|train loss: 0.1790|train accuracy: 94.63|test accuracy: 91.66
Epoch:  49|train loss: 0.2376|train accuracy: 93.96|test accuracy: 91.00
